site,title,company,job_url,location,date_posted,search_query,target_region,visa_sponsorship,visa_type
indeed,Technical Product Manager - A26218,Activate Interactive Pte Ltd,https://sg.indeed.com/viewjob?jk=167adaf389e09de9,"Singapore, S00, SG",2026-07-09,Analytics Engineer,Singapore,N,Not Mentioned
indeed,"Executive Director, AI Tech Delivery Lead",Sumitomo Group,https://sg.indeed.com/viewjob?jk=e53259987a6fcc09,SG,2026-07-09,Analytics Engineer,Singapore,N,Not Mentioned
indeed,#EG Data Analyst,NCS,https://sg.indeed.com/viewjob?jk=9271218dae3b5cf6,"Singapore, S00, SG",2026-07-09,Analytics Engineer,Singapore,N,Not Mentioned
indeed,#EG Data Analyst,DataSpark Pte Ltd,https://sg.indeed.com/viewjob?jk=e0563e1349383090,"Singapore, S00, SG",2026-07-08,Analytics Engineer,Singapore,N,Not Mentioned
linkedin,Data Engineer - Big Data,Razer,https://www.linkedin.com/jobs/view/4429237294,,2026-07-07,Analytics Engineer,Singapore,N,Not Mentioned
linkedin,"Data Engineer, Ad Data",TikTok,https://www.linkedin.com/jobs/view/4436519889,"Singapore, Singapore",2026-07-07,Analytics Engineer,Singapore,N,Not Mentioned
linkedin,Information Technology - Data Analytics Engineer,Singapore Airlines,https://www.linkedin.com/jobs/view/4394457677,"Singapore, Singapore",2026-06-30,Analytics Engineer,Singapore,N,Not Mentioned
linkedin,Data Generalist,Millipede,https://www.linkedin.com/jobs/view/4429433357,"Singapore, Singapore",2026-06-23,Analytics Engineer,Singapore,N,Not Mentioned
linkedin,"Big Data Engineer, Data Solutions",TikTok,https://www.linkedin.com/jobs/view/4427443370,"Singapore, Singapore",2026-06-14,Analytics Engineer,Singapore,N,Not Mentioned
indeed,Regional Alliances Manager - Asia,Okta,https://sg.indeed.com/viewjob?jk=c605d5515f4d3829,"Singapore, S00, SG",2026-07-09,Business Intelligence,Singapore,N,Not Mentioned
indeed,Automation Specialist (12 months contract),Yara,https://sg.indeed.com/viewjob?jk=284bbfef9b5a4810,"Singapore, S00, SG",2026-07-09,Business Intelligence,Singapore,N,Not Mentioned
